id,code,name,description,department_id,equivalency_group_id,created_at
48ca3c95-0828-4814-9035-df8d4111b28f,CEA038,QUIMICA GERAL,Tabela periódica e propriedades periódicas.  Ligações químicas. Forças intermoleculares. Estequiometria. Soluções e titulação. Reações redox e células galvânicas.,eeede489-d18d-482f-8152-6f6f3b6a2871,,2024-10-08 01:45:37.218110
f833a75c-1965-4069-8775-e4bb5d006201,CEA039,QUIMICA GERAL EXPERIMENTAL,Segurança em laboratório de química. Reconhecimento de vidrarias e equipamentos de laboratórios. Tabela periódica e propriedades periódicas. Ligações químicas. Reações químicas. Solução e diluição. Titulação. Reação oxirredução. Células galvânicas.,eeede489-d18d-482f-8152-6f6f3b6a2871,,2024-10-08 01:45:37.218110
1e5774eb-4d31-46ac-ae5b-c28803042874,CEA046,ELETROQUIMICA APLICADA,Reações de oxirredução e células galvânicas. Potenciais de célula e equilíbrio. Bateria. Eletrólise. Eletrólise e estequiometria. Corrosão. Eletroquímica no projeto de engenharia.,eeede489-d18d-482f-8152-6f6f3b6a2871,,2024-10-08 01:45:37.218110
317e0ff7-f8e7-410f-ac1c-1996aca19cdc,CEA049,GEOMETRIA ANALITICA E ALGEBRA LINEAR,Sistemas de equações lineares e matrizes. Álgebra vetorial. Retas e planos. Espaços vetoriais. Transformações lineares. Autovalores e autovetores. Cônicas.,eeede489-d18d-482f-8152-6f6f3b6a2871,,2024-10-08 01:45:37.218110
83e64630-7e72-466d-ae87-5c829156214a,CEA050,CALCULO DIFERENCIAL E INTEGRAL I,Números e funções reais. Limite e continuidade. Derivada e diferenciabilidade. Aplicações da derivada. Integral indefinida. Integral definida. Teorema Fundamental do Cálculo.,eeede489-d18d-482f-8152-6f6f3b6a2871,,2024-10-08 01:45:37.218110
3eba971a-b4bc-4083-a6fc-3881ecec313c,CEA051,CALCULO DIFERENCIAL E INTEGRAL II,Técnicas de integração e aplicações da integral.  Integrais impróprias e  aplicações. Sequências e séries numéricas. Representações de funções como séries de potências. Superfícies quádricas. Funções de várias variáveis e derivadas parciais.,eeede489-d18d-482f-8152-6f6f3b6a2871,,2024-10-08 01:45:37.218110
0524f6f2-ec83-4e31-80b8-cbd9f553f22a,CEA052,CALCULO DIFERENCIAL E INTEGRAL III,Funções vetoriais. Integrais múltiplas. Campos vetoriais. Integrais de linha. Rotacional e divergente.  Integrais de superfície.  Teoremas de Stokes e da Divergência.,eeede489-d18d-482f-8152-6f6f3b6a2871,,2024-10-08 01:45:37.218110
25ecd0de-6b8a-417d-92bc-9c3d4791f747,CEA053,PROBABILIDADE,Introdução à probabilidade. Variáveis aleatórias unidimensionais. Modelos de distribuição de probabilidade. Variáveis aleatórias multidimensionais. Correlação e covariância.,eeede489-d18d-482f-8152-6f6f3b6a2871,,2024-10-08 01:45:37.218110
62a05fd8-2b39-4701-acb6-7cc0c4b9bdda,CEA054,ESTATISTICA I,Estatística descritiva. Inferência estatística. Estimação por intervalo. Teste de hipótese. Regressão linear simples.,eeede489-d18d-482f-8152-6f6f3b6a2871,,2024-10-08 01:45:37.218110
2d4561f3-c551-4120-bd0c-82405d9c05b6,CEA055,ESTATISTICA E PROBABILIDADE,Estatística descritiva. Introdução à probabilidade. Variáveis aleatórias unidimensionais. Modelos de distribuição de probabilidade. Inferência estatística. Estimação por intervalo. Teste de hipótese. Variáveis aleatórias multidimensionais discretas. Regressão linear simples.,eeede489-d18d-482f-8152-6f6f3b6a2871,,2024-10-08 01:45:37.218110
29674383-f8e3-4106-b14f-a069c4ac6535,CEA056,INTRODUCAO AS EQUACOES DIFERENCIAIS ORDINARIAS,Equações diferenciais ordinárias de primeira ordem. Números complexos. Equações diferenciais ordinárias lineares de segunda ordem. Transformada de Laplace. Sistemas de equações diferenciais lineares.,eeede489-d18d-482f-8152-6f6f3b6a2871,,2024-10-08 01:45:37.218110
c7c266bd-f054-4e6f-87d2-d2ce8f33edf2,CEA057,METODOS MATEMATICOS APLICADOS A ENGENHARIA ELETRICA,Variáveis	complexas.	Série	de	Fourier.	Equações	diferenciais	parciais. Transformada de Fourier.,eeede489-d18d-482f-8152-6f6f3b6a2871,,2024-10-08 01:45:37.218110
23408e7b-c9fe-4c3f-9ce7-b385083f3fb9,CEA058,CALCULO NUMERICO,Análise de erro e aritmética de ponto flutuante. Sistemas de equações lineares. Raízes de equações. Interpolação polinomial. Integração numérica. Equações diferenciais ordinárias.,eeede489-d18d-482f-8152-6f6f3b6a2871,,2024-10-08 01:45:37.218110
7611b405-8167-48f9-b5bb-41d9908920ce,CEA059,FUNDAMENTOS DE GEOMETRIA ANALITICA E ALGEBRA LINEAR,Sistema de equações lineares e matrizes. Álgebra vetorial. Retas e planos. Espaços vetoriais euclidianos. Transformações lineares euclidianas.,eeede489-d18d-482f-8152-6f6f3b6a2871,,2024-10-08 01:45:37.218110
8a03bf50-b06d-4e16-9215-55d305f84cad,CEA060,FUNDAMENTOS DE CALCULO,Expressões algébricas. Raízes de equações polinomiais. Funções reais. Conceitos de limite e continuidade. Introdução à derivada e integral.,eeede489-d18d-482f-8152-6f6f3b6a2871,,2024-10-08 01:45:37.218110
d0d19738-e880-42f9-978a-9b4d3500a5fd,CEA061,FISICA I,"Medição, erros e incerteza. Movimento retilíneo. Vetores. Movimento em duas e três dimensões. Força e movimento. Energia cinética e trabalho. Energia potencial e conservação da energia. Centro de massa e momento linear. Rotação. Rolamento, torque e momento angular.",eeede489-d18d-482f-8152-6f6f3b6a2871,,2024-10-08 01:45:37.218110
7638f46d-1540-4fe9-8d7f-ee9ca6db97dc,CEA062,FISICA II,Cargas elétricas. Campos elétricos. Lei de Gauss. Potencial elétrico. Capacitância. Corrente e resistência. Circuitos. Campos magnéticos. Campos magnéticos produzidos por correntes. Indução e indutância. Equações de Maxwell e magnetismo da matéria.,eeede489-d18d-482f-8152-6f6f3b6a2871,,2024-10-08 01:45:37.218110
ee323dd9-6d4d-44ff-aadd-e05fb8f01f98,CEA063,FISICA III,"Equilíbrio estático. Elasticidade e mecânica dos materiais. Gravitação. Fluidos. Oscilações. Ondas em meios elásticos. Ondas sonoras. Temperatura, calor e a primeira lei da termodinâmica. Fenômenos de transporte. Teoria cinética dos gases. Entropia e a segunda lei de termodinâmica.",eeede489-d18d-482f-8152-6f6f3b6a2871,,2024-10-08 01:45:37.218110
6c6bb804-ecd9-4652-bcb7-4682e6981561,CEA064,FISICA IV,Oscilações eletromagnéticas e corrente alternada. Ondas eletromagnéticas. Imagens. Interferência. Difração. Relatividade. Fótons. Ondas de matéria. Átomos. Condução de eletricidade nos sólidos.,eeede489-d18d-482f-8152-6f6f3b6a2871,,2024-10-08 01:45:37.218110
fccbc454-5d74-466e-bcfe-5fd0704ce280,CEA065,MECANICA QUANTICA APLICADA,Equação de Schrödinger. Física atômica. Física molecular. Estatística quântica. Física do estado sólido. Semicondutores. Dispositivos semicondutores. Materiais e dispositivos optoeletrônicos. Questões conceituais da mecânica quântica. Física nuclear.,eeede489-d18d-482f-8152-6f6f3b6a2871,,2024-10-08 01:45:37.218110
9e625d54-aba8-4186-9b14-9a37c39a7ac5,CEA066,FUNDAMENTOS DE CIENCIA DO AMBIENTE,"Poluição ambiental. Poluição atmosférica. Poluição hídrica. Poluição dos solos. Ciclos biogeoquímicos. Gestão e legislação ambiental. Energia, meio ambiente e avaliação de impactos ambientais.",eeede489-d18d-482f-8152-6f6f3b6a2871,,2024-10-08 01:45:37.218110
21471e58-664d-4b37-adc5-038e89301f12,CEA067,PRINCIPIOS DE CIENCIAS DE MATERIAIS,Materiais usados na engenharia. Ordenação atômica dos sólidos. Metais monofásicos. Materiais polifásicos: equilíbrio. Materiais orgânicos. Materiais cerâmicos. Novos materiais. Corrosão e degradação de materiais.,eeede489-d18d-482f-8152-6f6f3b6a2871,,2024-10-08 01:45:37.218110
03ad01eb-5dad-4fb2-8d7c-e9c3f0072855,CEA069,COMPUTACAO E INFORMACAO QUANTICA,"Matemática dos qubits. Emaranhamento e desigualdade de Bell.
Portas e circuitos quânticos. Computadores quânticos.",eeede489-d18d-482f-8152-6f6f3b6a2871,,2024-10-08 01:45:37.218110
57fdcb61-878a-4d27-b67c-ca82a7fbf53b,CSI002,ALGORITMOS I,"Arquitetura e funcionamento básico de um computador. Estratégias básicas de
solução de problemas por meio de algoritmos. Conceitos básicos de linguagens de
programação de alto nível, com aplicação na linguagem Python: sequenciamento de
instruções, controle de fluxo de execução, procedimentos e funções, entrada e saída de
dados e manipulação de arquivos.",7e9ac3a8-887b-405d-9db9-faeb99698427,,2024-10-08 01:45:37.218110
69d57c62-f94b-4991-b63a-c439297af6f2,CSI003,ALGORITMOS II,"Conceitos básicos de estruturas de dados e orientação a objetos de linguagens de
programação de alto nível, com aplicação na linguagem Python: Introdução aos tipos
estruturados de dados. Estruturas de dados Lineares (Filas, Pilhas e Listas). Métodos de
ordenação. Introdução à Orientação a objetos. Exemplos de utilização de estruturas de dados na solução de problemas de otimização.",7e9ac3a8-887b-405d-9db9-faeb99698427,,2024-10-08 01:45:37.218110
146db07c-6887-4874-8b15-6215c39850af,CSI009,FUNDAMENTOS DE SISTEMAS DE INFORMACAO,"Bases conceituais e filosóficas da área de Sistemas de Informação. Os conceitos, objetivos, funções e 
componentes dos sistemas de informação. As relações entre sistemas e ambiente. Hierarquia de Sistemas. As dimensões tecnológicas, organizacional e humana dos sistemas de informação. Os tipos de sistemas de informação. Principais elementos de Tecnologia da Informação (Hardware e Software). Caracterização do processo decisório nas organizações e sua relação com os Sistemas de Informação. Caracterização do ciclo da informação na organização. Estabelecimento de relações entre tipos de situações-problema gerenciais no contexto organizacional.",7e9ac3a8-887b-405d-9db9-faeb99698427,f6e00188-5a73-4348-a677-048e52b6d8a0,2024-10-08 01:45:37.218110
b67c905a-fa41-464d-85bf-9c7322a6fded,CSI011,MATEMATICA DISCRETA,"Lógica de primeira ordem: sintaxe, semântica, dedução natural e raciocínio algébrico. Teoria de Conjuntos, Relações, Funções, Demonstração de Teoremas, Recursão e Indução
Matemática.",7e9ac3a8-887b-405d-9db9-faeb99698427,aa87ac1e-5a9b-44a5-9d5b-d00fac1fe9b3,2024-10-08 01:45:37.218110
98fc2efe-c40e-4175-b5de-52f877939f7d,CSI030,PROGRAMACAO DE COMPUTADORES I,"Arquitetura e funcionamento básico de um computador.Conceito de algoritmo e estratégias básicas de solução de problemas por meio de algoritmos. Estruturas de seleção e repetição. Conceitos básicos de linguagens de programação de alto nível: variáveis, tipos primitivos, atribuição, operadores, expressões, fluxo de execução de programas, procedimentos e funções, vetores, ponteiros, entrada e saída de dados. Alocação de memória: estática, de pilha e dinâmica. Tipos de dados estruturados. Implementação de programas de pequeno porte.",7e9ac3a8-887b-405d-9db9-faeb99698427,2dd7921a-b6f0-4dd4-b0e1-9c112cf37f6a,2024-10-08 01:45:37.218110
cd5aa425-b0a4-46f3-bbeb-6a18fbe215ff,CSI032,PROGRAMACAO DE COMPUTADORES II,"Conceitos de modularização, abstração e encapsulamento. Reuso de código. Conceito de classe. Composição e Agregação. Herança (polimorfismo de subtipagem): Herança simples e múltipla. Tratamento de exceção. Sobrecarga. Polimorfismo paramétrico. Programação por contratos. Noções
de padrões de projeto.",7e9ac3a8-887b-405d-9db9-faeb99698427,483c4615-3eb9-40ed-a28c-c8c674288ef8,2024-10-08 01:45:37.218110
f39bb8f2-8503-4ca8-9dee-50e63029daff,CSI101,PROGRAMACAO DE COMPUTADORES I,"Conceitos básicos de computação. Variáveis, constantes, tipos de dados e entrada/saída. Expressões e comandos condicionais. Comandos de repetição. Funções. Vetores. Ponteiros e alocação dinâmica de memória. Tipos heterogêneos de dados.
Implementação de programas de pequeno porte.",7e9ac3a8-887b-405d-9db9-faeb99698427,2dd7921a-b6f0-4dd4-b0e1-9c112cf37f6a,2024-10-08 01:45:37.218110
a6788c0d-bc50-44bf-9bc8-d9dd8fead46c,CSI102,PROGRAMACAO DE COMPUTADORES II,"Conceitos de modularização, abstração e encapsulamento. Reuso de código. Conceito de classe. Composição e Agregação. Herança (polimorfismo de subtipagem): Herança simples e múltipla. Tratamento de exceção. Sobrecarga. Polimorfismo paramétrico. Programação por contratos. Noções de padrões de projeto.",7e9ac3a8-887b-405d-9db9-faeb99698427,483c4615-3eb9-40ed-a28c-c8c674288ef8,2024-10-08 01:45:37.218110
f29edf0f-ed9a-4eab-9c8c-205085bc1827,CSI103,ALGORITMOS E ESTRUTURAS DE DADOS I,"Noções de análise de complexidade de algoritmos. Recursividade. Tipos Abstratos de Dados. Estruturas de dados lineares: Pilha, Fila e Lista. Estruturas de dados hierárquicas: Árvore Binária, Árvore Vermelho e Preta, Heaps. Algoritmos e técnicas de busca e de ordenação.",7e9ac3a8-887b-405d-9db9-faeb99698427,,2024-10-08 01:45:37.218110
